Ayurvedic Medicine,Diseases Cured,Cautions and Precautions,Properties,Key Ingredients,Mode of Action
Chandan-Arka (Calotropis) Lepa,Skin Brightening,Avoid contact with eyes,"Skin lightening, Wound healing, Cooling","Sandalwood (Chandan) powder, Arka (Calotropis procera) latex",Soothes and hydrates skin
Chandan-Arka (Calotropis) Lepa,Burns,Avoid contact with eyes,"Skin lightening, Wound healing, Cooling","Sandalwood (Chandan) powder, Arka (Calotropis procera) latex",Soothes and hydrates skin
Chandan-Turmeric-Vidari Kand Lepa,Skin Brightening,Avoid contact with eyes,"Skin lightening, Muscle strengthening, Anti-inflammatory","Sandalwood (Chandan) powder, Turmeric, Vidari Kand (Pueraria tuberosa) paste",Combines the benefits of various herbs for skin
Chandan-Turmeric-Vidari Kand Lepa,Muscle Weakness,Avoid contact with eyes,"Skin lightening, Muscle strengthening, Anti-inflammatory","Sandalwood (Chandan) powder, Turmeric, Vidari Kand (Pueraria tuberosa) paste",Combines the benefits of various herbs for skin
Khadira (Acacia Catechu)-Turmeric Lepa,Skin Infections,Perform a patch test for allergies,"Antibacterial, Anti-acne","Khadira (Acacia catechu) paste, Turmeric",May have antibacterial and anti-inflammatory effects
Khadira (Acacia Catechu)-Turmeric Lepa,Acne,Perform a patch test for allergies,"Antibacterial, Anti-acne","Khadira (Acacia catechu) paste, Turmeric",May have antibacterial and anti-inflammatory effects
Vacha (Calamus)-Neem Lepa,Oral Ulcers,Avoid swallowing if used in the mouth,"Mouth healing, Antibacterial","Vacha (Calamus) root paste, Neem paste",May have antibacterial and soothing properties
Vacha (Calamus)-Neem Lepa,Gum Infections,Avoid swallowing if used in the mouth,"Mouth healing, Antibacterial","Vacha (Calamus) root paste, Neem paste",May have antibacterial and soothing properties
Nagkesar (Mesua ferrea)-Haridra Lepa,Skin Radiance,Patch test for sensitivities,"Skin lightening, Scar reduction","Nagkesar (Mesua ferrea) paste, Haridra (Turmeric) paste",May promote skin healing and reduce inflammation
Nagkesar (Mesua ferrea)-Haridra Lepa,Acne Scars,Patch test for sensitivities,"Skin lightening, Scar reduction","Nagkesar (Mesua ferrea) paste, Haridra (Turmeric) paste",May promote skin healing and reduce inflammation
Brahmi-Gotu Kola Lepa,Cognitive Enhancement,Avoid contact with eyes,"Brain tonic, Stress relief","Brahmi (Bacopa monnieri) paste, Gotu Kola (Centella asiatica) paste",Supports skin health and may have anti-aging effects
Brahmi-Gotu Kola Lepa,Anxiety,Avoid contact with eyes,"Brain tonic, Stress relief","Brahmi (Bacopa monnieri) paste, Gotu Kola (Centella asiatica) paste",Supports skin health and may have anti-aging effects
Chandan-Kumari (Aloe Vera) Lepa,Skin Brightening,Patch test for allergies,"Skin lightening, Antibacterial","Sandalwood (Chandan) powder, Aloe Vera gel",Hydrates and soothes the skin
Chandan-Kumari (Aloe Vera) Lepa,Acne Scars,Patch test for allergies,"Skin lightening, Antibacterial","Sandalwood (Chandan) powder, Aloe Vera gel",Hydrates and soothes the skin
Ashwagandha-Brahmi Lepa,Stress Relief,Avoid contact with eyes,"Adaptogenic, Brain tonic","Ashwagandha (Withania somnifera) paste, Brahmi (Bacopa monnieri) paste",May have calming and rejuvenating effects
Ashwagandha-Brahmi Lepa,Cognitive Enhancement,Avoid contact with eyes,"Adaptogenic, Brain tonic","Ashwagandha (Withania somnifera) paste, Brahmi (Bacopa monnieri) paste",May have calming and rejuvenating effects
Kapur (Camphor)-Mint Lepa,Headaches,Avoid contact with eyes,"Analgesic, Cooling","Kapur (Camphor) paste, Pudina (Mint) leaves paste",Cooling and soothing for the skin
Kapur (Camphor)-Mint Lepa,Skin Cooling,Avoid contact with eyes,"Analgesic, Cooling","Kapur (Camphor) paste, Pudina (Mint) leaves paste",Cooling and soothing for the skin
Vacha (Calamus)-Turmeric Lepa,Skin Infections,Perform a patch test for allergies,"Antibacterial, Anti-acne","Vacha (Calamus) root paste, Turmeric",May have anti-inflammatory properties
Vacha (Calamus)-Turmeric Lepa,Acne,Perform a patch test for allergies,"Antibacterial, Anti-acne","Vacha (Calamus) root paste, Turmeric",May have anti-inflammatory properties
Chandan-Haridra (Turmeric) Lepa,Skin Brightening,Patch test for allergies,"Skin lightening, Antibacterial","Sandalwood (Chandan) powder, Haridra (Turmeric) paste",Combines the benefits of sandalwood and turmeric
Chandan-Haridra (Turmeric) Lepa,Acne Scars,Patch test for allergies,"Skin lightening, Antibacterial","Sandalwood (Chandan) powder, Haridra (Turmeric) paste",Combines the benefits of sandalwood and turmeric
Jambu (Jamun) Lepa,Skin Allergies,Avoid excessive dryness,"Skin soothing, Skin lightening",Jambu (Jamun) paste,May have astringent and skin-toning effects
Jambu (Jamun) Lepa,Hyperpigmentation,Avoid excessive dryness,"Skin soothing, Skin lightening",Jambu (Jamun) paste,May have astringent and skin-toning effects
Chandan-Guggulu Lepa,Skin Brightening,Avoid excessive dryness,"Skin lightening, Antibacterial","Sandalwood (Chandan) powder, Guggulu (Commiphora wightii) paste",May have anti-acne and soothing properties
Chandan-Guggulu Lepa,Acne Scars,Avoid excessive dryness,"Skin lightening, Antibacterial","Sandalwood (Chandan) powder, Guggulu (Commiphora wightii) paste",May have anti-acne and soothing properties
Kantakari-Haridra Lepa,Respiratory Disorders,Avoid contact with eyes,"Respiratory relief, Anti-inflammatory","Kantakari (Solanum xanthocarpum) paste, Haridra (Turmeric) paste",May have anti-inflammatory effects
Kantakari-Haridra Lepa,Allergies,Avoid contact with eyes,"Respiratory relief, Anti-inflammatory","Kantakari (Solanum xanthocarpum) paste, Haridra (Turmeric) paste",May have anti-inflammatory effects
Lodhra-Haridra Lepa,Acne,Not recommended for very dry skin,"Astringent, Skin Toning","Lodhra (Symplocos racemosa) paste, Haridra (Turmeric) paste",Supports skin health and reduces redness
Lodhra-Haridra Lepa,Skin Toning,Not recommended for very dry skin,"Astringent, Skin Toning","Lodhra (Symplocos racemosa) paste, Haridra (Turmeric) paste",Supports skin health and reduces redness
Pudina (Mint)-Neem Lepa,Skin Irritation,Avoid contact with eyes,"Cooling, Antibacterial","Pudina (Mint) leaves paste, Neem paste",Refreshes and may have antibacterial effects
Pudina (Mint)-Neem Lepa,Acne,Avoid contact with eyes,"Cooling, Antibacterial","Pudina (Mint) leaves paste, Neem paste",Refreshes and may have antibacterial effects
Chandan-Lavang (Clove) Lepa,Skin Brightening,Avoid swallowing if used in the mouth,"Skin lightening, Analgesic","Sandalwood (Chandan) powder, Lavang (Clove) paste",Soothes and may have antimicrobial properties
Chandan-Lavang (Clove) Lepa,Toothache,Avoid swallowing if used in the mouth,"Skin lightening, Analgesic","Sandalwood (Chandan) powder, Lavang (Clove) paste",Soothes and may have antimicrobial properties
Haritaki-Tulsi Lepa,Skin Detoxification,Avoid excessive application,"Detoxifying, Skin soothing","Haritaki (Terminalia chebula) paste, Tulsi (Holy Basil) paste",May have antioxidant and skin-soothing effects
Haritaki-Tulsi Lepa,Skin Allergies,Avoid excessive application,"Detoxifying, Skin soothing","Haritaki (Terminalia chebula) paste, Tulsi (Holy Basil) paste",May have antioxidant and skin-soothing effects
Bakuchiol-Neem Lepa,Skin Rejuvenation,Perform a patch test for allergies,"Anti-aging, Antibacterial","Bakuchiol (Bakuchiol extract) paste, Neem paste",Supports skin regeneration and health
Bakuchiol-Neem Lepa,Acne,Perform a patch test for allergies,"Anti-aging, Antibacterial","Bakuchiol (Bakuchiol extract) paste, Neem paste",Supports skin regeneration and health
Nagkesar (Mesua ferrea) Lepa,Skin Brightening,Avoid excessive dryness,"Skin lightening, Skin rejuvenation",Nagkesar (Mesua ferrea) paste,May promote skin healing and reduce inflammation
Nagkesar (Mesua ferrea) Lepa,Pigmentation,Avoid excessive dryness,"Skin lightening, Skin rejuvenation",Nagkesar (Mesua ferrea) paste,May promote skin healing and reduce inflammation
Chandan-Tagara Lepa,Skin Brightening,Avoid contact with eyes,"Skin lightening, Sedative","Sandalwood (Chandan) powder, Tagara (Valerian) paste",Soothes and may have calming effects
Chandan-Tagara Lepa,Sleep Disorders,Avoid contact with eyes,"Skin lightening, Sedative","Sandalwood (Chandan) powder, Tagara (Valerian) paste",Soothes and may have calming effects
Arka-Tulsi Lepa,Skin Irritation,Avoid contact with eyes,"Skin soothing, Anti-allergic","Arka (Calotropis procera) latex, Tulsi (Holy Basil) paste",Supports skin health and may have antibacterial properties
Arka-Tulsi Lepa,Allergies,Avoid contact with eyes,"Skin soothing, Anti-allergic","Arka (Calotropis procera) latex, Tulsi (Holy Basil) paste",Supports skin health and may have antibacterial properties
Chandan-Rose-Honey Lepa,Skin Brightening,Perform a patch test for allergies,"Skin lightening, Antibacterial, Moisturizing","Sandalwood (Chandan) powder, Rosewater, Honey",Nourishes and hydrates the skin
Chandan-Rose-Honey Lepa,Acne Scars,Perform a patch test for allergies,"Skin lightening, Antibacterial, Moisturizing","Sandalwood (Chandan) powder, Rosewater, Honey",Nourishes and hydrates the skin
Gokshura Lepa,Skin Allergies,Avoid in case of known allergies,"Diuretic, Anti-inflammatory, Skin soothing",Gokshura (Tribulus terrestris) paste,May have astringent and skin-toning effects
Gokshura Lepa,Urinary Health,Avoid in case of known allergies,"Diuretic, Anti-inflammatory, Skin soothing",Gokshura (Tribulus terrestris) paste,May have astringent and skin-toning effects
Lavang-Neem Lepa,Toothache,Avoid swallowing if used in the mouth,"Analgesic, Antibacterial","Lavang (Clove) paste, Neem paste",Soothes and may have antimicrobial properties
Lavang-Neem Lepa,Gum Infections,Avoid swallowing if used in the mouth,"Analgesic, Antibacterial","Lavang (Clove) paste, Neem paste",Soothes and may have antimicrobial properties
Chandan-Lemon Lepa,Skin Brightening,Perform a patch test for allergies,"Skin lightening, Antibacterial","Sandalwood (Chandan) powder, Lemon juice",Refreshes and brightens the skin
Chandan-Lemon Lepa,Acne Scars,Perform a patch test for allergies,"Skin lightening, Antibacterial","Sandalwood (Chandan) powder, Lemon juice",Refreshes and brightens the skin
Eranda (Castor Oil) Lepa,Skin Moisturizing,Avoid in case of known allergies,"Skin nourishing, Hair strengthening",Eranda (Castor oil),May moisturize and promote skin healing
Eranda (Castor Oil) Lepa,Hair Growth,Avoid in case of known allergies,"Skin nourishing, Hair strengthening",Eranda (Castor oil),May moisturize and promote skin healing
Kumari (Aloe Vera)-Neem Lepa,Skin Infections,Perform a patch test for allergies,"Antibacterial, Skin soothing, Anti-acne","Aloe Vera gel, Neem paste","Soothes, hydrates, and may have antibacterial properties"
Kumari (Aloe Vera)-Neem Lepa,Acne,Perform a patch test for allergies,"Antibacterial, Skin soothing, Anti-acne","Aloe Vera gel, Neem paste","Soothes, hydrates, and may have antibacterial properties"
Chandan-Kesar-Rose Lepa,Skin Brightening,Patch test for saffron allergies,"Skin lightening, Antibacterial","Sandalwood (Chandan) powder, Saffron, Rosewater","Nourishes, brightens, and rejuvenates the skin"
Chandan-Kesar-Rose Lepa,Acne Scars,Patch test for saffron allergies,"Skin lightening, Antibacterial","Sandalwood (Chandan) powder, Saffron, Rosewater","Nourishes, brightens, and rejuvenates the skin"
Kantakari Lepa,Respiratory Disorders,Avoid contact with eyes,"Respiratory relief, Anti-inflammatory",Kantakari (Solanum xanthocarpum) paste,May have anti-inflammatory and soothing effects
Kantakari Lepa,Cough,Avoid contact with eyes,"Respiratory relief, Anti-inflammatory",Kantakari (Solanum xanthocarpum) paste,May have anti-inflammatory and soothing effects
Chandan-Tulsi-Neem Lepa,Skin Infections,Perform a patch test for allergies,"Antibacterial, Skin healing, Anti-acne","Sandalwood (Chandan) powder, Tulsi (Holy Basil) paste, Neem paste",Supports skin health and may have antibacterial properties
Chandan-Tulsi-Neem Lepa,Acne,Perform a patch test for allergies,"Antibacterial, Skin healing, Anti-acne","Sandalwood (Chandan) powder, Tulsi (Holy Basil) paste, Neem paste",Supports skin health and may have antibacterial properties
Pushkarmool Lepa,Joint Pain,Avoid contact with eyes,"Analgesic, Anti-inflammatory",Pushkarmool (Inula racemosa) paste,May have anti-inflammatory and soothing effects
Pushkarmool Lepa,Muscle Aches,Avoid contact with eyes,"Analgesic, Anti-inflammatory",Pushkarmool (Inula racemosa) paste,May have anti-inflammatory and soothing effects
Chandan-Kesar-Honey Lepa,Skin Brightening,Patch test for saffron allergies,"Skin lightening, Antibacterial, Moisturizing","Sandalwood (Chandan) powder, Saffron, Honey","Nourishes, brightens, and hydrates the skin"
Chandan-Kesar-Honey Lepa,Acne Scars,Patch test for saffron allergies,"Skin lightening, Antibacterial, Moisturizing","Sandalwood (Chandan) powder, Saffron, Honey","Nourishes, brightens, and hydrates the skin"
Tagara (Valerian) Lepa,Sleep Disorders,Avoid contact with eyes,"Sedative, Stress relief",Tagara (Valerian) paste,Soothes and may have calming effects
Tagara (Valerian) Lepa,Anxiety,Avoid contact with eyes,"Sedative, Stress relief",Tagara (Valerian) paste,Soothes and may have calming effects
Chandan-Turmeric-Neem Lepa,Skin Brightening,Perform a patch test for allergies,"Skin lightening, Antibacterial, Anti-acne","Sandalwood (Chandan) powder, Turmeric, Neem paste",Combines the benefits of various herbs for skin
Chandan-Turmeric-Neem Lepa,Acne Scars,Perform a patch test for allergies,"Skin lightening, Antibacterial, Anti-acne","Sandalwood (Chandan) powder, Turmeric, Neem paste",Combines the benefits of various herbs for skin
Dhanyaka (Coriander) Lepa,Skin Allergies,Patch test for allergies,"Skin soothing, Anti-inflammatory",Dhanyaka (Coriander) paste,May have soothing and anti-inflammatory effects
Dhanyaka (Coriander) Lepa,Rashes,Patch test for allergies,"Skin soothing, Anti-inflammatory",Dhanyaka (Coriander) paste,May have soothing and anti-inflammatory effects
Bhallataka (Marking Nut) Lepa,Skin Disorders,Avoid contact with eyes,"Skin healing, Wart removal",Bhallataka (Semicarpus anacardium) paste,Caution due to potential irritant properties
Bhallataka (Marking Nut) Lepa,Warts,Avoid contact with eyes,"Skin healing, Wart removal",Bhallataka (Semicarpus anacardium) paste,Caution due to potential irritant properties
Chandan-Kesar-Turmeric Lepa,Skin Brightening,Patch test for saffron allergies,"Skin lightening, Antibacterial","Sandalwood (Chandan) powder, Saffron, Turmeric",Nourishes and may have anti-inflammatory effects
Chandan-Kesar-Turmeric Lepa,Acne Scars,Patch test for saffron allergies,"Skin lightening, Antibacterial","Sandalwood (Chandan) powder, Saffron, Turmeric",Nourishes and may have anti-inflammatory effects
Chandan-Neem Lepa,Acne,Perform a patch test for allergies,"Antibacterial, Anti-inflammatory","Sandalwood (Chandan) powder, Neem paste",Supports skin health and may have antibacterial properties
Chandan-Neem Lepa,Skin Infections,Perform a patch test for allergies,"Antibacterial, Anti-inflammatory","Sandalwood (Chandan) powder, Neem paste",Supports skin health and may have antibacterial properties
Devadaru (Cedarwood) Lepa,Dandruff,Avoid contact with eyes,"Anti-dandruff, Hair strengthening","Devadaru (Cedarwood) powder, Aloe Vera gel",Soothes and may have antimicrobial properties
Devadaru (Cedarwood) Lepa,Hair Fall,Avoid contact with eyes,"Anti-dandruff, Hair strengthening","Devadaru (Cedarwood) powder, Aloe Vera gel",Soothes and may have antimicrobial properties
Lavang (Clove) Lepa,Toothache,Avoid swallowing if used in the mouth,"Analgesic, Antibacterial",Lavang (Clove) paste,Soothes and may have antimicrobial properties
Lavang (Clove) Lepa,Gum Infections,Avoid swallowing if used in the mouth,"Analgesic, Antibacterial",Lavang (Clove) paste,Soothes and may have antimicrobial properties
Nirgundi Lepa,Joint Pain,Avoid contact with eyes,"Analgesic, Anti-inflammatory",Nirgundi (Vitex negundo) paste,May have anti-inflammatory and soothing effects
Nirgundi Lepa,Muscle Aches,Avoid contact with eyes,"Analgesic, Anti-inflammatory",Nirgundi (Vitex negundo) paste,May have anti-inflammatory and soothing effects
Sariva Lepa,Skin Allergies,Patch test for allergies,"Skin soothing, Anti-inflammatory",Sariva (Hemidesmus indicus) paste,Supports skin health and may have cooling effects
Sariva Lepa,Rashes,Patch test for allergies,"Skin soothing, Anti-inflammatory",Sariva (Hemidesmus indicus) paste,Supports skin health and may have cooling effects
Anantmool-Honey Lepa,Skin Allergies,Perform a patch test for allergies,"Skin soothing, Anti-inflammatory","Anantmool (Hemidesmus indicus) paste, Honey",Nourishes and soothes the skin
Anantmool-Honey Lepa,Rashes,Perform a patch test for allergies,"Skin soothing, Anti-inflammatory","Anantmool (Hemidesmus indicus) paste, Honey",Nourishes and soothes the skin
Chandan-Honey Lepa,Dry Skin,Avoid excessive application,"Skin moisturizing, Antibacterial","Sandalwood (Chandan) powder, Honey",Nourishes and hydrates the skin
Chandan-Honey Lepa,Skin Brightening,Avoid excessive application,"Skin moisturizing, Antibacterial","Sandalwood (Chandan) powder, Honey",Nourishes and hydrates the skin
